Begin#0,"""開始5150"""
Success#0,"""成功5150"""
Failure#0,"""失敗5150"""
Dead#0,"""自分死亡5150"""
BuddyDead#0,"""相手死亡5150"""
Evolution#0,"""発展5150"""
Begin#1,"""/ci1 1 Митараши, только взгляни.<br>Мои ноги отлично подходят<br>ботинкам!"""
Success#1,"""/ci2 2 /mn15 Твоя помощь просто спасла меня.<br>Всё-таки у баунсера с ботинками<br>и фантомом в сабах удивительная<br>скорость набора Vinto Gigue!"""
Failure#1,"""А-а, потерпели неудачу.<br>В следующий раз, давайте приложим<br>все усилия."""
Dead#1,"""Вот, я был беспечен...<br>Но я всё же хотел бы испытать<br>на подобный случай<br>функцию покраски!"""
BuddyDead#1,"""Митараши... ты была так очарована<br>моими ногами, что не смогла<br>сосредоточиться.<br>С этим ничего не поделаешь!"""
