NpcComMsg1#0,"""ホワイトデー会場周辺で<br>たくさんの龍族とダーカーが<br>確認されています！"""
NpcComMsg2#0,"""会場周辺で準備を行っていた<br>アークスたちも交戦中とのことです！<br>見かけたら、協力をお願いします！"""
NpcComMsg3#0,"""バレンタインのお返しを期待する<br>女の子たちのためにも<br>みんなで頑張りましょう！"""
Title#0,"""T: Бурный Белый день 2017"""
Explanation#0,"""惑星アムドゥスキア、浮遊大陸エリアの<br>ホワイトデーの会場周辺で、多数の龍族と<br>ダーカーが現れたとの報告が入った。<br>壊世区域の龍族の姿も確認されており<br>現地は大変な混乱に見舞われている。<br>各員、会場設営を行っていたアークスと<br>協力し、周辺の安全を確保せよ。<br>――――――――――――――――――――<br>Квестовые очки разделяются комнатой<br>Провал: время истекло"""
SimpleExplanation#0,"""Соберите очки Белого дня!"""
a1#0,"""Завершите определённый частный заказ"""
a2#0,"""Завершите определённый частный заказ"""
a3#0,"""Получите лиц. одобр-я \""СС\"" сложности"""
a4#0,"""Получите лиц. одобр-я \""СС\"" сложности"""
