Title#0,"""Б: За пределами воспоминаний"""
Explanation#0,"""Это тренировочная программа, основанная<br>на ранней симуляции \""Особой Тренировки\""<br>и усоврешенствована. Эта симуляция<br>охватит разные планеты. Постарайтесь<br>получить хороший результат в<br>установленные сроки. Эта симуляция<br>не для новичков. Удачи.<br>――――――――――――――――――――<br>Получите наибольший счёт<br>до окончания времени."""
SimpleExplanation#0,"""Получите наибольший счёт!"""
a1#0,"""Завершите определённый частный заказ"""
a2#0,"""Завершите определённый частный заказ"""
a3#0,"""Получите лиц. одобр-я \""СС\"" сложности"""
a4#0,"""Получите лиц. одобр-я \""СС\"" сложности"""
Area0S#0,"""VR-пространство (Лес)"""
Area0L#0,"""Корабль ARKS - VR-пространство (Лес)"""
Area1S#0,"""VR-пространство (Городская местность)"""
Area1L#0,"""Корабль ARKS - VR-пространство (Городская местность)"""
Area2S#0,"""VR-пространство (Святилище)"""
Area2L#0,"""Корабль ARKS - VR-пространство (Святилище)"""
Area3S#0,"""VR-пространство (Руины)"""
Area3L#0,"""Корабль ARKS - VR-пространство (Руины)"""
Area4S#0,"""VR-пространство (Побережье)"""
Area4L#0,"""Корабль ARKS - VR-пространство (Побережье)"""
Area5S#0,"""VR-пространство (Побережье)"""
Area5L#0,"""Корабль ARKS - VR-пространство (Побережье)"""
Area6S#0,"""VR-пространство (Карьер)"""
Area6L#0,"""Корабль ARKS - VR-пространство (Карьер)"""
Area7S#0,"""VR-пространство (Материнский корабль)"""
Area7L#0,"""Корабль ARKS - VR-пространство (Материнский корабль)"""
Area8S#0,"""VR-пространство (Широния)"""
Area8L#0,"""Корабль ARKS - VR-пространство (Широния)"""
Area9S#0,"""VR-пространство (Плавучее сооружение)"""
Area9L#0,"""Корабль ARKS - VR-пространство (Плавучее сооружение)"""
Area10S#0,"""VR-пространство (Искажённая Лиллипа)"""
Area10L#0,"""Корабль ARKS - VR-пространство (Искажённая Лиллипа)"""
Area11S#0,"""VR-пространство (Искажённые Руины)"""
Area11L#0,"""Корабль ARKS - VR-пространство (Искажённые Руины)"""
Area12S#0,"""VR-пространство (Токио)"""
Area12L#0,"""Корабль ARKS - VR-пространство (Токио)"""
Area13S#0,"""VR-пространство (Лас-Вегас)"""
Area13L#0,"""Корабль ARKS - VR-пространство (Лас-Вегас)"""
Area14S#0,"""VR-пространство (Искажённая Амдуския)"""
Area14L#0,"""Корабль ARKS - VR-пространство (Искажённая Амдуския)"""
Area15S#0,"""VR-пространство (Подземелье Проводников Земли)"""
Area15L#0,"""Корабль ARKS - VR-пространство (Подземелье Проводников Земли)"""
Area16S#0,"""VR-пространство (Вулканические пещеры)"""
Area16L#0,"""Корабль ARKS - VR-пространство (Вулканические пещеры)"""
Area17S#0,"""VR-пространство (Горнодобывающая база)"""
Area17L#0,"""Корабль ARKS - VR-пространство (Горнодобывающая база)"""
Area18S#0,"""VR-пространство (Запечатанная местность)"""
Area18L#0,"""Корабль ARKS - VR-пространство (Запечатанная местность)"""
Area19S#0,"""VR-пространство (Луна)"""
Area19L#0,"""Корабль ARKS - VR-пространство (Луна)"""
Area20S#0,"""VR-пространство (Древо жизни)"""
Area20L#0,"""Корабль ARKS - VR-пространство (Древо жизни)"""
Area21S#0,"""VR-пространство (Земли Дьявольского замка)"""
Area21L#0,"""Корабль ARKS - VR-пространство (Земли Дьявольского замка)"""
Area22S#0,"""VR-пространство (Искажённый Лес)"""
Area22L#0,"""Корабль ARKS - VR-пространство (Искажённый Лес)"""
Area23S#0,"""VR-пространство(????)"""
Area23L#0,"""Корабль ARKS - VR-пространство(????)"""
Area24S#0,"""VR-пространство (Обломки корабля ARKS - Палуба)"""
Area24L#0,"""Корабль ARKS - VR-пространство (Обломки корабля ARKS - Палуба)"""
Area25S#0,"""VR-пространство (Материнский корабль)"""
Area25L#0,"""Корабль ARKS - VR-пространство (Материнский корабль)"""
Area40S#0,"""VR-пространство (Лес)"""
Area40L#0,"""Корабль ARKS - VR-пространство (Лес)"""
Area41S#0,"""VR-пространство (Городская местность)"""
Area41L#0,"""Корабль ARKS - VR-пространство (Городская местность)"""
Area42S#0,"""VR-пространство (Святилище)"""
Area42L#0,"""Корабль ARKS - VR-пространство (Святилище)"""
Area43S#0,"""VR-пространство (Руины)"""
Area43L#0,"""Корабль ARKS - VR-пространство (Руины)"""
Area44S#0,"""VR-пространство (Побережье)"""
Area44L#0,"""Корабль ARKS - VR-пространство (Побережье)"""
Area45S#0,"""VR-пространство (Побережье)"""
Area45L#0,"""Корабль ARKS - VR-пространство (Побережье)"""
Area46S#0,"""VR-пространство (Карьер)"""
Area46L#0,"""Корабль ARKS - VR-пространство (Карьер)"""
Area47S#0,"""VR-пространство (Материнский корабль)"""
Area47L#0,"""Корабль ARKS - VR-пространство (Материнский корабль)"""
Area48S#0,"""VR-пространство (Широния)"""
Area48L#0,"""Корабль ARKS - VR-пространство (Широния)"""
Area49S#0,"""VR-пространство (Плавучее сооружение)"""
Area49L#0,"""Корабль ARKS - VR-пространство (Плавучее сооружение)"""
Area50S#0,"""VR-пространство (Искажённая Лиллипа)"""
Area50L#0,"""Корабль ARKS - VR-пространство (Искажённая Лиллипа)"""
Area51S#0,"""VR-пространство (Искажённые Руины)"""
Area51L#0,"""Корабль ARKS - VR-пространство (Искажённые Руины)"""
Area52S#0,"""VR-пространство (Токио)"""
Area52L#0,"""Корабль ARKS - VR-пространство (Токио)"""
Area53S#0,"""VR-пространство (Лас-Вегас)"""
Area53L#0,"""Корабль ARKS - VR-пространство (Лас-Вегас)"""
Area54S#0,"""VR-пространство (Искажённая Амдуския)"""
Area54L#0,"""Корабль ARKS - VR-пространство (Искажённая Амдуския)"""
Area55S#0,"""VR-пространство (Подземелье Проводников Земли)"""
Area55L#0,"""Корабль ARKS - VR-пространство (Подземелье Проводников Земли)"""
Area56S#0,"""VR-пространство (Вулканические пещеры)"""
Area56L#0,"""Корабль ARKS - VR-пространство (Вулканические пещеры)"""
Area57S#0,"""VR-пространство (Горнодобывающая база)"""
Area57L#0,"""Корабль ARKS - VR-пространство (Горнодобывающая база)"""
Area58S#0,"""VR-пространство (Запечатанная местность)"""
Area58L#0,"""Корабль ARKS - VR-пространство (Запечатанная местность)"""
Area59S#0,"""VR-пространство (Луна)"""
Area59L#0,"""Корабль ARKS - VR-пространство (Луна)"""
Area60S#0,"""VR-пространство (Древо жизни)"""
Area60L#0,"""Корабль ARKS - VR-пространство (Древо жизни)"""
Area61S#0,"""VR-пространство (Земли Дьявольского замка)"""
Area61L#0,"""Корабль ARKS - VR-пространство (Земли Дьявольского замка)"""
Area62S#0,"""VR-пространство (Искажённый Лес)"""
Area62L#0,"""Корабль ARKS - VR-пространство (Искажённый Лес)"""
Area63S#0,"""VR-пространство(????)"""
Area63L#0,"""Корабль ARKS - VR-пространство(????)"""
Area64S#0,"""VR-пространство (Обломки корабля ARKS - Палуба)"""
Area64L#0,"""Корабль ARKS - VR-пространство (Обломки корабля ARKS - Палуба)"""
Area65S#0,"""VR-пространство (Материнский корабль)"""
Area65L#0,"""Корабль ARKS - VR-пространство (Материнский корабль)"""
Area80S#0,"""VR-пространство (Лес)"""
Area80L#0,"""Корабль ARKS - VR-пространство (Лес)"""
Area81S#0,"""VR-пространство (Городская местность)"""
Area81L#0,"""Корабль ARKS - VR-пространство (Городская местность)"""
Area82S#0,"""VR-пространство (Святилище)"""
Area82L#0,"""Корабль ARKS - VR-пространство (Святилище)"""
Area83S#0,"""VR-пространство (Руины)"""
Area83L#0,"""Корабль ARKS - VR-пространство (Руины)"""
Area84S#0,"""VR-пространство (Побережье)"""
Area84L#0,"""Корабль ARKS - VR-пространство (Побережье)"""
Area85S#0,"""VR-пространство (Побережье)"""
Area85L#0,"""Корабль ARKS - VR-пространство (Побережье)"""
Area86S#0,"""VR-пространство (Карьер)"""
Area86L#0,"""Корабль ARKS - VR-пространство (Карьер)"""
Area87S#0,"""VR-пространство (Материнский корабль)"""
Area87L#0,"""Корабль ARKS - VR-пространство (Материнский корабль)"""
Area88S#0,"""VR-пространство (Широния)"""
Area88L#0,"""Корабль ARKS - VR-пространство (Широния)"""
Area89S#0,"""VR-пространство (Плавучее сооружение)"""
Area89L#0,"""Корабль ARKS - VR-пространство (Плавучее сооружение)"""
Area90S#0,"""VR-пространство (Искажённая Лиллипа)"""
Area90L#0,"""Корабль ARKS - VR-пространство (Искажённая Лиллипа)"""
Area91S#0,"""VR-пространство (Искажённые Руины)"""
Area91L#0,"""Корабль ARKS - VR-пространство (Искажённые Руины)"""
Area92S#0,"""VR-пространство (Токио)"""
Area92L#0,"""Корабль ARKS - VR-пространство (Токио)"""
Area93S#0,"""VR-пространство (Лас-Вегас)"""
Area93L#0,"""Корабль ARKS - VR-пространство (Лас-Вегас)"""
Area94S#0,"""VR-пространство (Искажённая Амдуския)"""
Area94L#0,"""Корабль ARKS - VR-пространство (Искажённая Амдуския)"""
Area95S#0,"""VR-пространство (Подземелье Проводников Земли)"""
Area95L#0,"""Корабль ARKS - VR-пространство (Подземелье Проводников Земли)"""
Area96S#0,"""VR-пространство (Вулканические пещеры)"""
Area96L#0,"""Корабль ARKS - VR-пространство (Вулканические пещеры)"""
Area97S#0,"""VR-пространство (Горнодобывающая база)"""
Area97L#0,"""Корабль ARKS - VR-пространство (Горнодобывающая база)"""
Area98S#0,"""VR-пространство (Запечатанная местность)"""
Area98L#0,"""Корабль ARKS - VR-пространство (Запечатанная местность)"""
Area99S#0,"""VR-пространство (Луна)"""
Area99L#0,"""Корабль ARKS - VR-пространство (Луна)"""
Area100S#0,"""VR-пространство (Древо жизни)"""
Area100L#0,"""Корабль ARKS - VR-пространство (Древо жизни)"""
Area101S#0,"""VR-пространство (Земли Дьявольского замка)"""
Area101L#0,"""Корабль ARKS - VR-пространство (Земли Дьявольского замка)"""
Area102S#0,"""VR-пространство (Искажённый Лес)"""
Area102L#0,"""Корабль ARKS - VR-пространство (Искажённый Лес)"""
Area103S#0,"""VR-пространство(????)"""
Area103L#0,"""Корабль ARKS - VR-пространство(????)"""
Area104S#0,"""VR-пространство (Обломки корабля ARKS - Палуба)"""
Area104L#0,"""Корабль ARKS - VR-пространство (Обломки корабля ARKS - Палуба)"""
Area105S#0,"""VR-пространство (Материнский корабль)"""
Area105L#0,"""Корабль ARKS - VR-пространство (Материнский корабль)"""
Area30S#0,"""Промежуточная Зона - Цветочный сад"""
Area30L#0,"""VR-пространство\u3000Промежуточная Зона - Цветочный сад"""
Area31S#0,"""Промежуточная Зона - Мелководье"""
Area31L#0,"""VR-пространство\u3000Промежуточная Зона - Мелководье"""
Area32S#0,"""Промежуточная Зона - Пустошь"""
Area32L#0,"""VR-пространство\u3000Промежуточная Зона - Пустошь"""
Area33S#0,"""Промежуточная Зона - Башня замка"""
Area33L#0,"""VR-пространство\u3000Промежуточная Зона - Башня замка"""
Area34S#0,"""Промежуточная Зона - Горячий источник"""
Area34L#0,"""VR-пространство\u3000Промежуточная Зона - Горячий источник"""
Area35S#0,"""Промежуточная Зона - Зачарованный лес"""
Area35L#0,"""VR-пространство\u3000Промежуточная Зона - Зачарованный лес"""
Area70S#0,"""Промежуточная Зона - Цветочный сад"""
Area70L#0,"""VR-пространство\u3000Промежуточная Зона - Цветочный сад"""
Area71S#0,"""Промежуточная Зона - Мелководье"""
Area71L#0,"""VR-пространство\u3000Промежуточная Зона - Мелководье"""
Area72S#0,"""Промежуточная Зона - Пустошь"""
Area72L#0,"""VR-пространство\u3000Промежуточная Зона - Пустошь"""
Area73S#0,"""Промежуточная Зона - Башня замка"""
Area73L#0,"""VR-пространство\u3000Промежуточная Зона - Башня замка"""
Area74S#0,"""Промежуточная Зона - Горячий источник"""
Area74L#0,"""VR-пространство\u3000Промежуточная Зона - Горячий источник"""
Area75S#0,"""Промежуточная Зона - Зачарованный лес"""
Area75L#0,"""VR-пространство\u3000Промежуточная Зона - Зачарованный лес"""
Area110S#0,"""Промежуточная Зона - Цветочный сад"""
Area110L#0,"""VR-пространство\u3000Промежуточная Зона - Цветочный сад"""
Area111S#0,"""Промежуточная Зона - Мелководье"""
Area111L#0,"""VR-пространство\u3000Промежуточная Зона - Мелководье"""
Area112S#0,"""Промежуточная Зона - Пустошь"""
Area112L#0,"""VR-пространство\u3000Промежуточная Зона - Пустошь"""
Area113S#0,"""Промежуточная Зона - Башня замка"""
Area113L#0,"""VR-пространство\u3000Промежуточная Зона - Башня замка"""
Area114S#0,"""Промежуточная Зона - Горячий источник"""
Area114L#0,"""VR-пространство\u3000Промежуточная Зона - Горячий источник"""
Area115S#0,"""Промежуточная Зона - Зачарованный лес"""
Area115L#0,"""VR-пространство\u3000Промежуточная Зона - Зачарованный лес"""
Area120S#0,"""VR-пространство (Земли Дьявольского замка)"""
Area120L#0,"""Корабль ARKS - VR-пространство (Земли Дьявольского замка)"""
NpcComMsg1#0,"""Начинаем Бесконечный квест.<br>Постарайтесь пройти как можно<br>дальше и заработать как можно<br>более высокий балл."""
NpcComMsg2#0,"""Счёт и время будут увеличиваться<br>каждый раз по мере выполнения<br>\""Заказов миссий\"".<br>Удачи!"""
UIQuestTargetOutlineSecond#0,"""Добейте до окончания!"""
UIQuestTargetDetailSecond#0,"""Выполняйте миссии, чтобы увеличить лимит!"""
NPCArea0#0,"""/atime2.5 /voice11_voice_navi07_013 ミッション１は私がナビゲートします。<br>まずは周囲のエネミーを撃破して<br>武器と進路を確保しましょう。"""
NPCArea1#0,"""/atime2.5 /voice11_voice_navi07_014 ミッション２からは詳細なナビゲートを<br>行いませんので、自身の力で乗り切って<br>ください。それではご武運を。"""
NPCArea2#0,"""/atime2.5 /voice11_voice_navi07_015 ミッション３です。<br>しっかりと休憩はできましたか？<br>そろそろ難易度が上がってきますよ。"""
NPCArea3#0,"""/atime2.5 /voice11_voice_navi07_016 ミッション４です。<br>ＶＲエネルギーは大丈夫ですか？<br>エネルギー切れにご注意を。"""
NPCArea4#0,"""/atime2.5 /voice11_voice_navi07_017 ミッション５です。<br>最後のミッションとなります。<br>心してお進みください。"""
NPCArea5#0,"""/atime2.5 /voice11_voice_navi07_018 ミッション６です。ここからは<br>ＶＲエネルギーの切れるまで<br>全力で頑張ってください。"""
NPCArea6#0,"""/atime2.5 /voice11_voice_navi07_019 ミッション７です。<br>同じ光景だとしても、その内容が<br>同じとは限りません。ご注意を。"""
NPCArea7#0,"""/atime2.5 /voice11_voice_navi07_015 ミッション８です。すでにお気づきかも<br>しれませんが、マップに表示されない<br>エネルギーカプセルも落ちていますよ。"""
NPCArea8#0,"""/atime2.5 /voice11_voice_navi07_016 ミッション９です。<br>残り２ミッション。<br>もうひと踏ん張りですよ。"""
NPCArea9#0,"""/atime2.5 /voice11_voice_navi07_017 ミッション１０です。<br>どう転んでも最後のミッションです。<br>死力を尽くして頑張ってください。"""
NPCArea10#0,"""/atime2.5 /voice11_voice_navi07_018 ミッション１１です。<br>３週目なので難易度が更に上がります。<br>限界まで力を振り絞りましょう。"""
NPCArea11#0,"""/atime2.5 /voice11_voice_navi07_019 ミッション１２です。<br>この難易度にも耐えうる能力……<br>素晴らしいの一言につきます。"""
NPCArea12#0,"""/atime2.5 /voice11_voice_navi07_015 ミッション１３です。<br>全力をもって最善を尽くし<br>最深部到達を目指してください。"""
NPCArea13#0,"""/atime2.5 /voice11_voice_navi07_016 ミッション１４です。<br>最深部にだいぶ近づいて来ています。<br>３週目の、最深部に。"""
NPCArea14#0,"""/atime2.5 /voice11_voice_navi07_017 ミッション１５です。<br>ここを越えれば３週目終了です。<br>ご武運を。"""
NPCArea15#0,"""/atime2.5 /voice11_voice_navi07_018 ミッション１６です。<br>４週目のはじまりです。<br>更に難易度が上がりますよ。"""
NPCArea16#0,"""/atime2.5 /voice11_voice_navi07_014 ミッション１７です。<br>素晴らしい成果です。次のミッションで<br>ちょっとした情報を提供しますね。"""
NPCArea17#0,"""/atime2.5 /voice11_voice_navi07_015 ミッション１８です。<br>本ミッションは、これが最後の周回。<br>つまり、残りは３ミッションです。"""
NPCArea18#0,"""/atime2.5 /voice11_voice_navi07_016 ミッション１９です。<br>残り２ミッション。<br>もうひと踏ん張りですよ。"""
NPCArea19#0,"""/atime2.5 /voice11_voice_navi07_017 ミッション２０です。<br>どう転んでも最後のミッションです。<br>死力を尽くして頑張ってください。"""
NPCArea21#0,"""/atime2.5 /voice11_voice_navi07_002 Вы достигли Промежуточной Зоны.<br>Пожалуйста, используйте это<br>время, чтобы подготовиться<br>к следующей миссии."""
NPCArea22#0,"""/atime2.5 /voice11_voice_navi07_002 Вы достигли Промежуточной Зоны.<br>Пожалуйста, используйте это<br>время, чтобы подготовиться<br>к следующей миссии."""
NPCArea23#0,"""/atime2.5 /voice11_voice_navi07_002 Вы достигли Промежуточной Зоны.<br>Пожалуйста, используйте это<br>время, чтобы подготовиться<br>к следующей миссии."""
NPCArea24#0,"""/atime2.5 /voice11_voice_navi07_002 Вы достигли Промежуточной Зоны.<br>Пожалуйста, используйте это<br>время, чтобы подготовиться<br>к следующей миссии."""
