a1#0,"""Завершите определённый частный заказ"""
a2#0,"""Завершите определённый частный заказ"""
a3#0,"""Получите лиц. одобр-я \""СТ\"" сложности"""
a4#0,"""Получите лиц. одобр-я \""СТ\"" сложности"""
a5#0,"""Получите лиц. одобр-я \""СТ\"" сложности"""
Area0S#0,"""Меж пространством и временем: Внутренний слой"""
Area0L#0,"""Меж пространством и временем: Внутренний слой"""
Title#0,"""ПБ: Меж пространством и временем"""
Explanation#0,"""Идёт сбор всех сил ARKS для последнего боя.<br>Положите конец это вечной борьбе. От этого<br>зависит судьба вселенной. Удачи всем.<br>――――――――――――――――――――<br>Провал: Время истекло или вы покидаете<br>квест по причне небоеспособности"""
Target_Success#0,"""Операция завершена!"""
Area0S#1,"""Планета Амдуския: Небытие"""
Area0L#1,"""Планета Амдуския: Небытие"""
Area0S#2,"""Планета Амдуския: Заболоченный луг"""
Area0L#2,"""Планета Амдуския: Заболоченный луг"""
NpcComMsg1#0,"""Ничего и не скажешь.<br>Большое спасибо, что сражался<br>с нами всё это время."""
NpcComMsg2#0,"""Я не хочу видеть,<br>как ты исчезаешь.<br>Поэтому давай вместе со всеми<br>отправимся обратно!"""
NpcComMsg3#0,"""Никто никем не будет жертвовать.<br>Мы отправимся вместе<br>в новое будущее!.."""
Area1S#0,"""Планета Амдуския: Заболоченный луг"""
Area1L#0,"""Планета Амдуския: Заболоченный луг"""
SimpleExplanation#0,"""Уничтожьте [Первобытную Тьму]!"""
