name01#0,"""Хильда"""
name02#0,"""Использование заряженных техник"""
11_voice_navi02_109#0,"""А теперь, поговорим о зарядке техник."""
text00#0,"""Заряженные техники"""
text01#0,"""Если вы зажмёте <%PhotonArts>, то сможете зарядить техникуи тем самым<br>сделать её сильнее.<br><br>При зарядке техники её мощность и дальность увеличиваются<br>в зависимости от техники."""
text100#0,"""Зажмите <%PhotonArts>, чтобы зарядить технику, и отпустите!"""
text1000#0,"""Продолжайте удерживать <%PhotonArts> для зарядки!"""
text201#0,"""Выпустите технику!"""
text202#0,"""Выпустите технику!"""
text203#0,"""Зарядка техники:<br>Зажмите <%PhotonArts> и отпустите!"""
text204#0,"""Зарядка техники:<br>Зажмите <%PhotonArts> и отпустите!"""
11_voice_navi02_109#1,"""А теперь, поговорим о зарядке техник."""
text00#1,"""Заряженные техники"""
text01#1,"""Сейчас вы узнаете о зарядке техник.<br><br>При зарядке техники её мощность и дальность увеличиваются<br>в зависимости от техники."""
text02#0,"""У техники, при зарядке, не только увеличивается мощность,<br>но и увеличивается дальность и сам эффект в зависимости<br>от самой техники.<br><br>В случае с техникой \""Foie\"", значительно увеличивается<br>дальность действия и сила.<br>Можно сказать, что эта техника эффективна в бою против<br>больших скоплений врагов."""
text03#0,"""В случе с техникой \""Resta\"", значительно увеличатся<br>радиус действия и время действия эффекта, включая<br>число восстановлений и степень восстановления.<br><br>Полезно при игре в группе с несколькими игроками."""
text04#0,"""Расход PP игроком при зарядке техники аналогичен обычной<br>версии техники (т.е. без зарядки).<br><br>Форсы, используя зарядку техник, потребляющих РР,<br>смогут успешно выполнить уворот.[Тест]"""
text100#1,"""Зажмите <%PhotonArts>, чтобы зарядить технику, и отпустите!"""
text1000#1,"""Продолжайте удерживать <%PhotonArts> для зарядки!"""
