Coin#0,"""Монет казино"""
TitleCongest#0,"""Заполнение зоны казино"""
Congest_Name_SlotRappy#0,"""Рэппи слотс"""
Congest_Name_Shooter#0,"""Месетан тир"""
Congest_Name_SlotArkuma#0,"""Акума слотс"""
Congest_Name_Roulette#0,"""Лили-рулетка"""
Congest_Name_Blackjack#0,"""Блэк Няк"""
Congest_Empty#0,"""Пусто"""
Congest_Full#0,"""Заполнено"""
Congest_Over#0,"""Переполнено"""
Congest_Loading#0,"""Загрузка"""
Congest_Failure#0,"""Неизвестно"""
ContentInfo#0,"""Информация о содержимом"""
ContentInfo_Nothing#0,"""Нет"""
ContentMenu_None#0,"""Загрузка..."""
WindowTitle#0,"""Сообщение"""
ComeInMessage#0,"""Монеты казино отправлены в ваш инвентарь."""
ComeInMessage2#0,"""У вас $(0) <pict AmusementCoin>."""
ComeOutMessage#0,"""Монеты казино отправлены в хранилище."""
ComeOutWarning#0,"""Хранилище монет казино заполнено. Обменяйте часть на призы или повысьте лимит в магаизине AC."""
ComeOutBetsCancel#0,"""Ставки отменены."""
PossessNum#0,"""У вас """
Back#0,"""Вернуться"""
Message#0,"""Сообщение"""
Yes#0,"""Да"""
No#0,"""Нет"""
Close#0,"""Закрыть"""
Decide#0,"""Подтвердить"""
Cancel#0,"""Отмена"""
BigHitShooter#0,"""$(0) творит что-то невероятное в Месетан тире!"""
BigHitSlotRappy#0,"""$(0) творит что-то невероятное в Рэппи слотс!"""
BigHitSlotRappyJP#0,"""$(0) сорвал джекпот в Рэппи слотс!"""
BigHitCard#0,"""У $(0) Блэк Няк!"""
BigHitRoulette#0,"""$(0) сорвал куш в Лили-рулетке!"""
BigHitSlotArkuma#0,"""$(0) сорвал джекпот в Акума слотс!"""
BoostCampaignTitle#0,"""Об акции усиления"""
SuperBoostCampaignTitle#0,"""Об акции супер-усиления"""
ContentsProhibitMessage#0,"""Этот вариант нельзя использовать."""
PrizeExchangeTitleMenu#0,"""Меню магазина"""
PrizeExchangeInfo#0,"""Информация об обмене призов"""
PrizeExchangeNo#0,"""Количество обменов"""
PrizeExchangeNoInfo#0,"""Счётчик обменов обнуляется каждую среду"""
PrizeExchangeNoInfoVITA#0,"""Счётчик обменов обнуляется каждую среду"""
PrizeExchangeTitle#0,"""Обмен призов"""
PrizeExchangeHead#0,"""<c f0df60>Монеты можно обменять на призы.<c>"""
PrizeExchangeHead_1#0,"""<c f0df60>Монеты можно обменять на призы неограниченное количество раз.<c>"""
PrizeExchangeHead_2#0,"""<c f0df60>Монеты можно обменять на призы ограниченное количество раз.<c>"""
PrizeExchangeHeadExit#0,"""<c f0df60>Выйти из обмена призов.<c>"""
PrizeExchangeHeadSelect_1#0,"""<c f0df60>Выберите приз, чтобы обменять на него монеты казино.<c>"""
PrizeExchangeHeadSelect_2#0,"""<c f0df60>Выберите приз. (Количество обменов в неделю ограничено. Счётчик обнуляется каждую среду).<c>"""
PrizeExchangeContents#0,"""Меню обмена призов"""
PrizeExchangeMenu_1#0,"""Обычные призы"""
PrizeExchangeMenu_2#0,"""Ограниченное предложение"""
PrizeExchangeMenuExit#0,"""Выйти из обмена"""
PrizeExchangeList#0,"""Список призов"""
PrizeExchangeTotalCoin#0,"""Всего монет"""
PrizeExchangeItemPack#0,"""Набор предметов"""
PrizeExchangeExchange#0,"""Обмен"""
PrizeExchangeSort#0,"""Сортировка по умолчанию"""
PrizeExchangeDetails#0,"""Информация о предмете"""
PrizeExchangeRadioButton#0,"""Можно надеть"""
simpleinput#0,"""<pict Sign_SQUARE> Простой ввод"""
PrizeExchangeCoin#0,"""$(0)<pict AmusementCoin>"""
PrizeExchangeCoinRed#0,"""<red>$(0)<c><pict AmusementCoin>"""
ExchangeCheckTitle#0,"""Подтверждение обмена"""
ExchangeCheckMessage#0,"""Обменять $(0)<pict AmusementCoin> на эти предметы?<br>"""
ExchangeLimitCheckMessage#0,"""Обменять $(0)<pict AmusementCoin> на эти предметы?<br>(Счётчик обменов обнуляется в среду)."""
PreExchangeLimitMessage#0,"""Выбранные призы превышают ваш текущий лимит обменов.<br>Выберите другие или совершите обмен позже.<br>(Счётчик обменов обнуляется в среду)."""
ExchangeLimitMessage#0,"""Лимит обменов исчерпан, операция не удалась."""
ExchangeCancelTitle#0,"""Операция отменена"""
ExchangeCancelMessage#0,"""Обмен не состоится.<br>Продолжить?"""
ExchangeCoinInsufficient#0,"""У вас недостаточно монет казино."""
ExchangeResultTitle#0,"""Обмен предметов"""
ExchangeResultMessage1#0,"""Полученные предметы."""
ExchangeResultMessage2#0,"""Обмен не состоялся. Нет места в инвентаре либо достигнут лимит подобных предметов в инвентаре."""
ExchangeDBAccessMessage#0,"""Сервер переполнен, не удалось<br>получить награду."""
LimitedItem#0,"""<yellow>Ограниченное предложение<c>"""
LimitedItemTitle1#0,"""<yellow>Можно обменять<c>"""
LimitedItemTitle2#0,"""<yellow>Дата сброса<c>"""
LimitedItemText1#0,"""Можно обменять $(0)"""
LimitedItemText2#0,"""Осталось $(0)"""
LimitedItemTitle3#0,"""Информация о предмете"""
title_big_gacha#0,"""Обменник монет"""
2gide_big_gacha#0,"""<c f0df60>Здесь можно обменять Casino Coin Passes на монеты казино.<c>"""
content_big_gacha#0,"""Обменник монет"""
mawasu_gacha#0,"""Крутить обменник монет"""
Play_1Time#0,"""Крутить 1 раз"""
Play_5Time#0,"""Крутить 5 раз"""
Return#0,"""Вернуться"""
PrizeInfo#0,"""Информация о призе"""
PosCoin#0,"""Возможно получить монет"""
PlayConfirmTitle#0,"""Подтверждение"""
PlayConfirm#0,"""Будет потрачено $(0) Casino Coin Pass(es).<br>Продолжить?><br>(У вас есть $(1) Casino Coin Pass(es))"""
CoinPassMiss#0,"""У вас недостаточно Casino Coin Pass(es)."""
SystemError#0,"""Не удалось обменять."""
SuccessMessage#0,"""Вы получили монеты казино."""
ExplainMessage#0,"""$(0)～$(1)<pict AmusementCoin>"""
ExplainMessage2#0,"""<c ffff00>$(0)～$(1)<pict AmusementCoin>(Во время акции)<c>"""
Step_1#0,"""<c ffffff>$(0)<c><pict AmusementCoin>"""
Step_2#0,"""<c 00ff00>$(0)<c><pict AmusementCoin>"""
Step_3#0,"""<c ffa800>$(0)<c><pict AmusementCoin>"""
Step_4#0,"""<c ffff00>$(0)<c><pict AmusementCoin>"""
CoinPlayMax#0,"""所持カジノコインは、<br>$(0)を超えた分は所持することができません。<br>それでも、まわしますか？"""
CampaignText#0,"""-"""
SuperCampaignText#0,"""-"""
react_red1#0,"""Очень вкусно! (◇◇◇◇◇)"""
react_red2#0,"""Этот вкус нравится всем. (◇◇◇◇)"""
react_red3#0,"""Не плохо. Но и не хорошо. (◇◇◇)"""
react_red4#0,"""Привкус так себе. (◇◇)"""
react_red5#0,"""Это... на любителя. (◇)"""
react_blue1#0,"""У меня великолепное настроение! (♪♪♪♪♪)"""
react_blue2#0,"""Как освежает... (♪♪♪♪)"""
react_blue3#0,"""Ничего особенного.\u3000(♪♪♪)"""
react_blue4#0,"""Что-то грустно стало... (♪♪)"""
react_blue5#0,"""Положите меня и не трогайте. (♪)"""
react_purple1#0,"""Предсказание: вам невероятно повезёт! (☆☆☆☆☆)"""
react_purple2#0,"""Предсказание: вам сильно повезёт! (☆☆☆☆)"""
react_purple3#0,"""Предсказание: вам повезёт. (☆☆☆)"""
react_purple4#0,"""Предсказание: вам не повезёт. (☆☆)"""
react_purple5#0,"""Предсказание: вам жутко не повезёт. (☆)"""
title_shooter#0,"""Месетан тир"""
2gide_shooter#0,"""<c f0df60>В Месетан тире можно играть даже вчетвером!<c>"""
2gide_shooter_item#0,"""<c f0df60>$(0)<pict AmusementCoin>で$(1)倍<c>"""
content_shooter#0,"""Месетан тир"""
shooter_help#0,"""Стрелять: <%NormalAttack> Двигаться: левый стик. Камера: правый стик. Прервать игру: <%MainMenu>."""
