Symbol_Common_ID#0,"""ID элемента"""
Symbol_Common_Name#0,"""Название элемента"""
Symbol_Common_Pos#0,"""Положение"""
Symbol_Common_Height#0,"""Высота"""
Symbol_Common_Wight#0,"""Ширина"""
Symbol_Common_Rotate#0,"""Поворот"""
Symbol_Common_Alpha#0,"""Прозрачность"""
Symbol_Common_Color#0,"""Цвет"""
Symbol_Common_Folder#0,"""Папки"""
Symbol_Common_Visible#0,"""Отображение"""
Symbol_Common_GroupID#0,"""ID группы"""
Symbol_Common_ColorA#0,"""A"""
Symbol_Common_ColorR#0,"""R"""
Symbol_Common_ColorG#0,"""G"""
Symbol_Common_ColorB#0,"""B"""
Symbol_Common_PosX#0,"""X"""
Symbol_Common_PosY#0,"""Y"""
EditVectorSet#0,"""Register symbol art"""
EditVectorClear#0,"""Clear registration"""
SoundFile_00_vita#0,"""吹き出し音に従う"""
SoundFile_00#0,"""Выбрать звуковой эффект"""
SoundFile_01#0,"""Без звука"""
SoundFile_02#0,"""Стандартный"""
SoundFile_03#0,"""Радость"""
SoundFile_04#0,"""Злость"""
SoundFile_05#0,"""Грусть"""
SoundFile_06#0,"""Раздражение"""
SoundFile_07#0,"""Удивление"""
SoundFile_08#0,"""Вопрос"""
SoundFile_09#0,"""Помогите!"""
SoundFile_10#0,"""Свисток"""
SoundFile_11#0,"""Застенчивость"""
SoundFile_12#0,"""Решимость"""
ColorSelectForm_Color_Title#0,"""Настройки цвета"""
ColorSelectForm_Alpha_Title#0,"""Настройки прозрачности"""
EditForm_Color_Exp#0,"""Выберите цвет элемента"""
EditForm_Alpha_Exp#0,"""Выберите уровень прозрачности элемента"""
MoneyForm_Title#0,"""-"""
MoneyForm_Button_Up#0,"""-"""
MoneyForm_Exp#0,"""-"""
EditForm_Title#0,"""Редактировать Символ Арт"""
EditForm_Button_Save#0,"""Сохранить"""
EditForm_Button_AsSave#0,"""Сохранит в другом слоте"""
EditForm_Button_NameEdit#0,"""Изменить название"""
EditForm_Button_Create#0,"""Добавить"""
